[5], iter. T, 0.099499, dist. T, 0.075264, 
[6], iter. T, 0.096359, dist. T, 0.075285, 
[0], iter. T, 0.065383, dist. T, 0.055476, 
[1], iter. T, 0.170086, dist. T, 0.050149, 
[2], iter. T, 0.126315, dist. T, 0.074736, 
[3], iter. T, 0.149728, dist. T, 0.114854, 
[4], iter. T, 0.141365, dist. T, 0.114757, 
[5], iter. T, 0.105701, dist. T, 0.086055, 
[0], iter. T, 0.150369, dist. T, 0.140990, 
[1], iter. T, 0.303318, dist. T, 0.102298, 
[2], iter. T, 0.259853, dist. T, 0.186716, 
[3], iter. T, 0.211045, dist. T, 0.167811, 
[4], iter. T, 0.111177, dist. T, 0.074938, 
[5], iter. T, 0.112493, dist. T, 0.084223, 
